Composer,Publisher,City,Latitude,Longitude,Editions
Tchaikovsky,À ses abonnés—le Gaulois,Paris,48.856614,2.352222,1
Strauss,"Aibl, Joseph",Munich,48.135125,11.581981,30
Tchaikovsky,"Albrekht, Karl",Moscow,55.755826,37.617300,2
Dvořák,Album du Gaulois,Paris,48.856614,2.352222,1
Beethoven,Allgemeine musikalische Zeitung,Leipzig,51.339696,12.373075,2
"Schumann (Robert)","Arnold, F. W.",Elberfeld,51.249362,7.149625,4
"Schumann (Robert)",Arnz & Co.,Düsseldorf,51.227741,6.773456,1
Beethoven,Artaria,Vienna,48.208174,16.373819,42
Tchaikovsky,Artist,NA,NA,NA,1
Strauss,Atlantis,Zürich,47.376887,8.541694,1
"Schumann (Robert)","Basserman, Friedrich",Mannheim,49.487459,8.466039,1
"Schumann (Robert)",Bauer & Raspe,Nürnberg,49.452102,11.076665,1
Strauss,"Bauer, Otto",Munich,48.135125,11.581981,1
Mendelssohn,Beck’s sel. Erben,Aarau,47.390434,8.045702,1
Mendelssohn,Benacci & Peschier,Lyon,45.764043,4.835659,5
Beethoven,Berliner Allgemeine musikalische Zeitung,Berlin,52.520007,13.404954,1
Strauss,Berliner Lokalanzeiger,Berlin,52.520007,13.404954,1
Tchaikovsky,"Bernard, N.",St. Petersburg,59.934280,30.335099,3
Tchaikovsky,"Bessel, V.",St. Petersburg,59.934280,30.335099,5
Beethoven,Birchall,London,51.507351,-0.127758,4
Mendelssohn,"Boesenberg, L. H.",Leipzig,51.339696,12.373075,1
"Schumann (Robert)","Boesenberg, L. H.",Leipzig,51.339696,12.373075,2
Beethoven,Bohmanns Erben,Paris,48.856614,2.352222,1
Berlioz,Boieldieu jeune,Paris,48.856614,2.352222,4
Strauss,Boosey & Hawkes,London,51.507351,-0.127758,3
Beethoven,Boßler,Speyer,49.317277,8.441217,5
Berlioz,Bote & Bock,Berlin,52.520007,13.404954,1
Dvořák,Bote & Bock,Berlin,52.520007,13.404954,12
Mendelssohn,Bote & Bock,Berlin,52.520007,13.404954,1
"Schumann (Robert)",Bote & Bock,Berlin,52.520007,13.404954,2
Strauss,Bote & Bock,Berlin,52.520007,13.404954,5
Tchaikovsky,Bote & Bock,Berlin,52.520007,13.404954,2
Beethoven,Breitkopf & Härtel,Leipzig,51.339696,12.373075,29
Brahms,Breitkopf & Härtel,Leipzig,51.339696,12.373075,14
MacDowell,Breitkopf & Härtel,Leipzig,51.339696,12.373075,12
"Schumann (Clara)",Breitkopf & Härtel,Leipzig,51.339696,12.373075,11
"Schumann (Robert)",Breitkopf & Härtel,Leipzig,51.339696,12.373075,29
Strauss,Breitkopf & Härtel,Wiesbaden,50.078218,8.239761,2
Mendelssohn,Breitkopf & Härtel,Leipzig,51.339696,12.373075,38
Beethoven,Broderip & Wilkinson,London,51.507351,-0.127758,1
Strauss,"Bruckmann, F.",Munich,48.135125,11.581981,1
Berlioz,Bureaux de l’Alliance-Nouvelle,Paris,48.856614,2.352222,1
Beethoven,Caecilia,Mainz,49.992862,8.247253,2
Berlioz,"Canaux, Vve and Alexandre Père et Fils",Paris,48.856614,2.352222,1
Beethoven,Cappi (and Diabelli),Vienna,48.208174,16.373819,11
Strauss,"Cassirer, Paul",Berlin,52.520007,13.404954,1
Berlioz,Catelin,Paris,48.856614,2.352222,6
Strauss,"Challier, C. A.",Berlin,52.520007,13.404954,1
Beethoven,Chappell,London,51.507351,-0.127758,1
Mendelssohn,Chappell,London,51.507351,-0.127758,2
Beethoven,Chemische Druckerei,Vienna,48.208174,16.373819,3
Berlioz,Choudens,Paris,48.856614,2.352222,3
Beethoven,Clementi,London,51.507351,-0.127758,19
Dvořák,"Coates, J. W.",London,51.507351,-0.127758,2
Mendelssohn,Coventry & Hollier,London,51.507351,-0.127758,2
Berlioz,"Cramer, J. B.",London,51.507351,-0.127758,3
Mendelssohn,"Cramer, J. B.",London,51.507351,-0.127758,9
Brahms,"Cranz, August",Bremen,50.079296,8.801694,1
Dvořák,"Cranz, August",Leipzig,51.339696,12.373075,3
"Schumann (Robert)","Cranz, August",Hamburg,53.551085,9.993682,1
Berlioz,Cuchet,Paris,48.856614,2.352222,2
Berlioz,"Diabelli, Anton",Vienna,48.208174,16.373819,1
"Schumann (Clara)","Diabelli, Anton",Vienna,48.208174,16.373819,1
Beethoven,Eder,Vienna,48.208174,16.373819,1
Mendelssohn,Ewer,London,51.507351,-0.127758,26
Beethoven,Farrenc,Paris,48.856614,2.352222,1
Strauss,"Forberg, Robert",Bonn,50.737430,7.098207,3
Beethoven,Friedensblätter,Vienna,48.208174,16.373819,1
Mendelssohn,"Friese, A. R.",Leipzig,51.339696,12.373075,3
"Schumann (Robert)","Friese, A. R.",Leipzig,51.339696,12.373075,10
Brahms,"Fritzsch, E. W.",Leipzig,51.339696,12.373075,3
MacDowell,"Fritzsch, E. W.",Leipzig,51.339696,12.373075,2
Strauss,"Fürstner, Adolph",Berlin,52.520007,13.404954,46
"Schumann (Robert)","Glaser, Conrad",Schleusingen,50.508820,10.748525,1
Beethoven,Gombart,Augsburg,48.370545,10.897790,1
Beethoven,Götz,Mannheim,49.487459,8.466039,1
Dvořák,"Hainauer, J.",Breslau,51.107885,17.038538,2
MacDowell,"Hainauer, J.",Breslau,51.107885,17.038538,12
Beethoven,"Haslinger, Tobias",Vienna,48.208174,16.373819,2
Berlioz,"Haslinger, Tobias",Vienna,48.208174,16.373819,1
"Schumann (Clara)","Haslinger, Tobias",Vienna,48.208174,16.373819,1
"Schumann (Robert)","Haslinger, Tobias",Vienna,48.208174,16.373819,5
"Schumann (Robert)",Heinrichshofen,Magdeburg,52.120533,11.627624,1
Strauss,Heinrichshofen,Wilhelmshaven,53.532340,8.106872,1
Beethoven,"Hoffmeister, Franz Anton",Leipzig,51.339696,12.373075,6
Beethoven,"Hoffmeister, Franz Anton",Vienna,48.208174,16.373819,6
"Schumann (Clara)","Hoffmeister, Franz Anton",Leipzig,51.339696,12.373075,1
Dvořák,"Hofmeister, Friedrich",Leipzig,51.339696,12.373075,5
Mendelssohn,"Hofmeister, Friedrich",Leipzig,51.339696,12.373075,1
"Schumann (Clara)","Hofmeister, Friedrich",Leipzig,51.339696,12.373075,4
"Schumann (Robert)","Hofmeister, Friedrich",Leipzig,51.339696,12.373075,7
Beethoven,"Hoftheater-Musik-Verlag, Kaiserlich-Königlicher",Vienna,48.208174,16.373819,2
Tchaikovsky,"Iurgenson, P.",Moscow,55.755826,37.617300,98
MacDowell,"Jung, P. L.",New York,40.712775,-74.005973,14
Strauss,Junker & Dünnhaupt,Berlin,52.520007,13.404954,1
Berlioz,"Kahnt, C. F.",Leipzig,51.339696,12.373075,1
MacDowell,"Kahnt, C. F.",Leipzig,51.339696,12.373075,3
Berlioz,"Kistner, Friedrich",Leipzig,51.339696,12.373075,1
Dvořák,"Kistner, Friedrich",Leipzig,51.339696,12.373075,2
Mendelssohn,"Kistner, Friedrich",Leipzig,51.339696,12.373075,7
"Schumann (Robert)","Kistner, Friedrich",Leipzig,51.339696,12.373075,17
Mendelssohn,"Klemm, C. A.",Leipzig,51.339696,12.373075,1
"Schumann (Robert)","Klemm, C. A.",Leipzig,51.339696,12.373075,2
Beethoven,Kunst- und Industrie-Comptoir,Vienna,48.208174,16.373819,32
Dvořák,Kvetch mládeze,Prague,50.075538,14.437801,1
Berlioz,La France musicale,Paris,48.856614,2.352222,1
Berlioz,La Romance,Paris?,48.856614,2.352222,1
Berlioz,"Latte, Bernard",Paris,48.856614,2.352222,3
Mendelssohn,Laue,Berlin,52.520007,13.404954,5
Berlioz,"Le Duc, August",Paris,48.856614,2.352222,1
Berlioz,Le Monde Musical,Paris,48.856614,2.352222,1
Berlioz,Le Protée,Paris,48.856614,2.352222,1
Berlioz,"Legouix, O.",Paris,48.856614,2.352222,1
Tchaikovsky,"Leibrok, Iu.",St. Petersburg,59.934280,30.335099,1
"Schumann (Robert)",Leipziger Illustrirte Zeitung,Leipzig,51.339696,12.373075,1
Mendelssohn,Lemoine,Paris,48.856614,2.352222,1
Strauss,"Leuckart, F. E. C.",Munich,48.135125,11.581981,6
Berlioz,"Litolff, Henry",Brunswick,52.268874,10.526770,1
Beethoven,Löschenkohl,Vienna,48.208174,16.373819,1
"Schumann (Robert)",Lose & Olsen,Copenhagen,55.676097,12.568337,1
Mendelssohn,Lucca,Milan,45.464204,9.189982,2
"Schumann (Robert)","Luckhardt, Carl",Kassel,51.312711,9.479746,5
Tchaikovsky,Mackar,Paris,48.856614,2.352222,1
Beethoven,Maisch,Vienna,48.208174,16.373819,1
Tchaikovsky,Markov,St. Petersburg,59.934280,30.335099,1
Beethoven,"Mechetti, Pietro",Vienna,48.208174,16.373819,2
Berlioz,"Mechetti, Pietro",Vienna,48.208174,16.373819,2
Mendelssohn,"Mechetti, Pietro",Vienna,48.208174,16.373819,5
"Schumann (Clara)","Mechetti, Pietro",Vienna,48.208174,16.373819,1
"Schumann (Robert)","Mechetti, Pietro",Vienna,48.208174,16.373819,5
Strauss,"Meggendorfer, Lothar",Munich,48.135125,11.581981,1
"Schumann (Robert)","Meyer, G. M.",Braunschweig,52.268874,10.526770,1
MacDowell,"Millet, J. B.",Boston,42.355000,-71.065000,1
Beethoven,Mollo,Vienna,48.208174,16.373819,13
Mendelssohn,Mori & Lavenu,London,51.507351,-0.127758,11
Strauss,"Mosse, Rudolph",Berlin,52.520007,13.404954,1
Berlioz,Müller,Vienna,48.208174,16.373819,1
Beethoven,Musen-Almanach,Vienna,48.208174,16.373819,1
Beethoven,Nägeli,Zürich,47.376887,8.541694,1
"Schumann (Clara)",Neue Zeitschrift für Musik,Leipzig,51.339696,12.373075,1
"Schumann (Robert)",Neue Zeitschrift für Musik,Leipzig,51.339696,12.373075,1
"Schumann (Robert)","Nigel, Adolf",Hannover,52.375892,9.732010,1
Dvořák,Novello,London,51.507351,-0.127758,7
Mendelssohn,Novello,London,51.507351,-0.127758,13
Tchaikovsky,Nuvellist,NA,NA,NA,2
Strauss,"Oertel, Johannes",Munich,48.135125,11.581981,6
Berlioz,"Orphéon, L’",Paris,48.856614,2.352222,1
Tchaikovsky,Ot byvshikh unchenykov…,St Petersburg,59.934280,30.335099,1
Mendelssohn,Paine & Hopkins,London,51.507351,-0.127758,1
"Schumann (Robert)","Paul, Wilhelm",Dresden,51.050409,13.737262,1
Brahms,"Peters, C. F.",Leipzig,51.339696,12.373075,5
Dvořák,"Peters, C. F.",Leipzig,51.339696,12.373075,1
"Schumann (Robert)","Peters, C. F.",Leipzig,51.339696,12.373075,4
Strauss,"Peters, C. F.",New York,40.712775,-74.005973,4
Beethoven,Preston,London,51.507351,-0.127758,8
Beethoven,Prometheus,Vienna,48.208174,16.373819,1
Strauss,"Rahter, Daniel",Hamburg,53.551085,9.993682,2
Tchaikovsky,"Rahter, Daniel",Hamburg,53.551085,9.993682,2
Beethoven,Regent’s Harmonic Institution,London,51.507351,-0.127758,1
"Schumann (Clara)","Reiter-Biedermann, J.",Leipzig,51.339696,12.373075,2
Berlioz,Revue et Gazette Musicale,Paris,48.856614,2.352222,1
Berlioz,Richault,Paris,48.856614,2.352222,25
Mendelssohn,Richault,Paris,48.856614,2.352222,2
Berlioz,"Ricordi, G.",Milan,45.464204,9.189982,2
Mendelssohn,"Ricordi, G.",Milan,45.464204,9.189982,4
Tchaikovsky,"Ricordi, G.",Milan,45.464204,9.189982,1
Beethoven,Riedl,Vienna,48.208174,16.373819,1
Berlioz,Rieter-Biedermann,Winterthour,47.498820,8.723689,3
Brahms,Rieter-Biedermann,Leipzig,51.339696,12.373075,21
Berlioz,"Rohdé, H.",Paris,48.856614,2.352222,1
Mendelssohn,Schaub,Düsseldorf,51.227741,6.773456,1
Dvořák,"Schirmer, G.",New York,40.712775,-74.005973,1
